Gender,Classroom,Job
F,10CSI,Khoa học ứng dụng AI
F,10CH,Dược
F,10CH,Software Engineer/Data Engineer (con vẫn đang phân vân ạ)
M,10A,Bác sĩ
N/A,10A,Computer Science
F,10CTR-N,"AI,...."
M,10A,"bác sĩ, công nghệ sinh học tế bào, công nghệ y sinh."
F,10A,bác sĩ/ điều dưỡng
M,10A,"Em muốn làm ngành y, nghề bác sĩ"
M,10A,Kinh Tế
N/A,10CA,Ngành thiết kế / web designer
F,10A,Em chưa có định hướng
F,10CH,ngành y
M,10A,Em muốn làm bác sĩ ạ.
M,10A,Liên quan với vật lý và khoa học kĩ thuật
M,10A,Bác sĩ 
F,10CSU-Đ,"Dạ thưa thầy, em chưa xác định được ngành nghề mình muốn theo, em chỉ có định hướng thi vào ĐH Khoa học Xã hội Nhân văn thôi ạ."
F,10CA,Em chưa xác định được nghành nghề mình muốn theo
F,10A,Công nghệ sinh học
F,10A,"Dạ em chưa xác định rõ ạ, nhưng mà giờ thì em nghĩ là ngành logistics hoặc ngành phiên dịch ạ."
M,10CL,Cơ điện tử/Kỹ sư robot
F,10CA,Thiết kế đồ hoạ
N/A,10A,tạm thời em vẫn đang tìm hiểu các ngành nghề của khối A1 và D để lựa chọn
F,10CH,Bác sĩ
F,10A,"Sau này em thiên hướng khối D, em muốn học về quản trị kinh doanh/ quản lý nhân sự "
M,10CA,ngành liên quan đến công nghệ thông tin/ máy tính
M,10A,Y Dược 
F,10A,Ngành Logistics
F,10A,Kiểm toán/Khoa học máy tính
F,10A,Em có đam mê với hóa sinh và y dược ạ
F,10A,Em chưa định hướng được nghề nghiệp sẽ theo sau này ạ
N/A,10A,Bác sĩ
F,10A,bác sĩ
M,10A,Ngành kế/kiểm toán
M,10A,Sư phạm
N/A,10A,Bác sĩ
M,10A,Lập trình viên thiết kế phần mềm
M,10A,Công nghệ thông tin
M,10A,Công Nghệ Thông Tin/Lập Trình
F,10A,Ban A/A1
F,10A,"Em chưa chắc về ngành học sau này của em, em đang phân vân giữa Mỹ Thuật và Ngôn Ngữ Anh."
F,10A,"Em vẫn chưa xác định được chính xác và mình muốn làm ngành nghề gì trong tương lai nhưng định hướng sẽ là nghề liên quan đến vật lý, mĩ thuật hoặc lập trình, hiện tại em đang quan tâm đến các môn học đó."
F,10A,Nhóm ngành kinh tế
